GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model.enums,RequestState,0,27,0,0,0,5,0,1,0,1
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model.enums,AdminState,21,0,0,0,4,0,1,0,1,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model.enums,SemaforoColores,0,27,0,0,0,5,0,1,0,1
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.util,ValidationUtil,112,0,30,0,25,0,22,0,7,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.util,PasswordUtils,13,29,2,6,3,7,3,5,1,3
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.util,MapperUtils,21,56,5,5,2,23,7,4,4,2
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.port,ReportService,152,0,18,0,29,0,15,0,6,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,AprobadaState,23,0,0,0,11,0,6,0,6,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,Professor,3,10,0,0,2,3,1,1,1,1
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,StatusClosed,4,3,0,0,2,1,1,1,1,1
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,User,19,36,1,1,6,12,5,6,4,6
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,EnCursoState,39,0,0,0,15,0,6,0,6,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,StatusOpen,16,16,2,2,3,6,2,2,0,2
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,ReprobadaState,31,0,0,0,13,0,6,0,6,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,Semaforo,7,19,0,0,1,6,1,3,1,3
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,SubjectDecorator,54,0,0,0,14,0,11,0,11,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,CambioGrupo,11,29,1,1,7,8,7,2,6,2
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,Group,46,253,10,28,11,60,9,36,2,24
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,Subject,3,143,0,18,1,39,1,25,1,16
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,Shira,3,0,0,0,1,0,1,0,1,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,Student,135,93,18,12,26,20,20,10,7,8
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,CambioMateria,21,0,0,0,9,0,8,0,8,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,NoCursadaState,34,0,0,0,14,0,6,0,6,0
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,Schedule,4,109,5,13,0,23,5,12,0,8
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,BaseRequest,110,36,12,0,27,13,16,3,10,3
SIRHA-BackEnd,edu.dosw.sirha.SIRHA_BackEnd.domain.model,StudyPlan,27,0,0,0,9,0,5,0,5,0
